Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
cansat,2025-10-29T21:57:02.093Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,113,-92.7,1001.49,25.14,6.91,,,,,,0.03,0.04,0.01,0.22,-0.67,,,,,571.89,59.34,,,-152.54,-28.99,-99.32
cansat,2025-10-29T21:57:03.109Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,114,-92.7,1001.49,25.14,6.91,,,,,,0.03,0.04,0.01,0.22,-0.67,,,,,572.21,59.45,,,-152.54,-28.99,-99.32
cansat,2025-10-29T21:57:05.126Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,115,-92.7,1001.49,25.14,6.91,,,,,,0.03,0.04,-0.08,0.22,-0.67,,,,,572.21,59.45,,,-152.54,-28.99,-99.32
cansat,2025-10-29T21:57:06.141Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,116,-92.7,1001.49,25.14,6.91,,,,,,0.03,0.04,-0.08,0.22,-0.67,,,,,572.21,59.45,,,-152.54,-28.99,-99.32
cansat,2025-10-29T21:57:07.358Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,117,-92.7,1001.49,25.14,6.91,,,,,,0.03,0.04,-0.08,0.22,-0.67,,,,,572.21,59.45,,,-152.54,-28.99,-99.32
cansat,2025-10-29T21:57:08.436Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,118,-93.55,1001.47,25.16,6.91,,,,,,-0.03,0.09,-0.08,0.78,1.79,-0.67,,,,572.21,59.45,,,-153.15,-29.74,-99.67
cansat,2025-10-29T21:57:09.453Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,119,-93.55,1001.47,25.16,6.91,,,,,,-0.03,0.09,-0.08,0.78,1.79,-0.67,,,,571.58,59.23,,,-153.15,-29.74,-99.67
cansat,2025-10-29T21:57:11.470Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,120,-93.55,1001.47,25.16,6.91,,,,,,-0.03,0.09,0.13,0.78,1.79,-0.67,,,,571.58,59.23,,,-153.15,-29.74,-99.67
cansat,2025-10-29T21:57:12.485Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,121,-93.55,1001.47,25.16,6.91,,,,,,-0.03,0.09,0.13,0.78,1.79,-0.67,,,,571.58,59.23,,,-153.15,-29.74,-99.67
cansat,2025-10-29T21:57:13.702Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,122,-93.55,1001.47,25.16,6.91,,,,,,-0.03,0.09,0.13,0.78,1.79,-0.67,,,,571.58,59.23,,,-153.15,-29.74,-99.67
cansat,2025-10-29T21:57:14.762Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,123,-93.45,1001.51,25.17,6.91,,,,,,-0.03,0.09,0.13,0.34,0.22,0.11,,,,571.58,59.23,,,-153.05,-29.78,-99.71
cansat,2025-10-29T21:57:15.778Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,124,-93.45,1001.51,25.17,6.91,,,,,,-0.03,0.09,0.13,0.34,0.22,0.11,,,,571.58,59.23,,,-153.05,-29.78,-99.71
cansat,2025-10-29T21:57:17.794Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,125,-93.45,1001.51,25.17,6.91,,,,,,-0.03,0.09,-0.02,0.34,0.22,0.11,,,,571.58,59.23,,,-153.05,-29.78,-99.71
cansat,2025-10-29T21:57:18.810Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,126,-93.45,1001.51,25.17,6.91,,,,,,-0.03,0.09,-0.02,0.34,0.22,0.11,,,,571.58,59.23,,,-153.05,-29.78,-99.71
